id,mural_title,school_name,borough,neighborhood,lat,lng,year,artist_names,students_involved,image_url,detail_url
395,CHARAS/El Bohio Community Center: El Bohio Murals,abandoned school building,Manhattan,Lower East Side,40.7224446,-73.9903948,2023,Nico Collazo,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/05/Panorama-before.png?fit=7223%2C1262&ssl=1,https://www.thrivecollective.org/portfolio/el-bohio-murals-3-2/
396,CHARAS/El Bohio Community Center: El Bohio Murals,abandoned school building,Manhattan,Lower East Side,40.7224446,-73.9903948,2023,Marissa Molina,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/05/Panorama-before.png?fit=7223%2C1262&ssl=1,https://www.thrivecollective.org/portfolio/el-bohio-murals-4-2/
397,CHARAS/El Bohio Community Center: El Bohio Murals,abandoned school building,Manhattan,Lower East Side,40.7224446,-73.9903948,2023,"Will Power, Al Diaz (Samo)",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/05/Panorama-before.png?fit=7223%2C1262&ssl=1,https://www.thrivecollective.org/portfolio/el-bohio-murals-middle/
398,CHARAS/El Bohio Community Center: El Bohio Murals,abandoned school building,Manhattan,Lower East Side,40.7224446,-73.9903948,2023,Danielle Mastrion,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/05/Panorama-before.png?fit=7223%2C1262&ssl=1,https://www.thrivecollective.org/portfolio/el-bohio-murals-mastrion/
399,CHARAS/El Bohio Community Center: El Bohio Murals,abandoned school building,Manhattan,Lower East Side,40.7224446,-73.9903948,2023,Christian Penn,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/05/Panorama-before.png?fit=7223%2C1262&ssl=1,https://www.thrivecollective.org/portfolio/el-bohio-murals-penn/
400,CHARAS/El Bohio Community Center: El Bohio Murals,abandoned school building,Manhattan,Lower East Side,40.7224446,-73.9903948,2023,Michela Muserra,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/05/Panorama-before.png?fit=7223%2C1262&ssl=1,https://www.thrivecollective.org/portfolio/el-bohio-murals-8/
401,CHARAS/El Bohio Community Center: El Bohio Murals,abandoned school building,Manhattan,Lower East Side,40.7224446,-73.9903948,2023,"Christian Penn, Charlie Elo",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/05/Panorama-before.png?fit=7223%2C1262&ssl=1,https://www.thrivecollective.org/portfolio/el-bohio-murals-9/
402,Bed-Stuy Walls: Cousins,Antioch Baptist Church,Brooklyn,Bedford-Stuyvesant,40.6900368,-73.9348475,2022,"Michela Muserra, Frankie Velez, Marissa Molina, Andrea Amanda, Joshua Gabriel, Ashley Crawford, Nico Collazo",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/08/bedstuy-banner4-e1755915543130.jpeg?resize=560%2C560&ssl=1,https://www.thrivecollective.org/portfolio/bed-stuy-walls-series-cousins/
403,Bed-Stuy Walls: Cousins,Antioch Baptist Church,Brooklyn,Bedford-Stuyvesant,40.6900368,-73.9348475,2022,"Michela Muserra, Marissa Molina, Andrea Amanda, Joshua Gabriel, Ashley Crawford, Nico Collazo",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/08/bedstuy-banner4-e1755915543130.jpeg?resize=560%2C560&ssl=1,https://www.thrivecollective.org/portfolio/bed-stuy-walls-series-cousins-2/
404,Bed-Stuy Walls: Cousins,Antioch Baptist Church,Brooklyn,Bedford-Stuyvesant,40.6900368,-73.9348475,2022,"Michela Muserra, Marissa Molina, Andrea Amanda, Joshua Gabriel, Ashley Crawford, Nico Collazo",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/08/bedstuy-banner4-e1755915543130.jpeg?resize=560%2C560&ssl=1,https://www.thrivecollective.org/portfolio/bed-stuy-walls-series-cousins-5/
